"";"nomor_urut";"jenis_kelamin";"umur";"fakultas";"prodi";"tingkat_semester";"uang_saku";"kepemilikan_mobil";"kepemilikan_motor";"kepemilikan_sepeda";"kendaraan_utama";"jenis_tempat_tinggal";"jarak";"jumlah_perjalanan_selasa";"jumlah_perjalanan_rabu";"jumlah_perjalanan_kamis";"jumlah_perjalanan_jumat";"jumlah_perjalanan_sabtu";"jumlah_perjalanan_ahad"
"222";222;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;1;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";2,66;0;2;0;2;0;2
"223";223;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";5,6;2;2;2;2;0;0
"224";224;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,27;2;2;2;4;4;0
"225";225;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";3;3;3;"Mobil Pribadi";"Rumah Pribadi/Rumah Keluarga";8,7;3;4;3;5;0;2
"226";226;"Perempuan";20;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";3,38;0;0;0;3;0;2
"227";227;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,95;3;3;0;0;0;0
"228";228;"Laki-laki";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Bersama-sama";1,04;3;3;4;3;4;4
"229";229;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";8,03;2;2;2;0;0;0
"230";230;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,9;3;2;4;4;2;2
"231";231;"Perempuan";19;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";25,71;2;2;2;2;2;2
"232";232;"Perempuan";21;"Syariah";"Hukum Tata Negara";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,17;2;3;0;0;0;0
"233";233;"Laki-laki";21;"Syariah";"Hukum Ekonomi";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,13;0;2;2;2;2;2
"234";234;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,18;4;6;4;4;4;2
"235";235;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,28;2;3;0;2;2;2
"236";236;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,43;0;3;0;2;2;2
"237";237;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,43;0;3;0;2;2;2
"238";238;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,28;0;3;0;2;2;0
"239";239;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,28;2;3;2;2;2;2
"240";240;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";0,46;2;2;1;2;2;2
"241";241;"Laki-laki";18;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,04;2;2;0;3;0;0
"242";242;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Manajemen Bisnis Syariah";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,59;3;2;4;4;2;2
"243";243;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Kos Bersama-sama";1,16;2;2;2;0;2;2
"244";244;"Perempuan";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Rumah Mengontrak Bersama-sama";3,93;0;2;2;0;0;4
"245";245;"Perempuan";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";8,09;0;3;1;0;0;0
"246";246;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";3,96;2;2;0;0;0;0
"247";247;"Laki-laki";21;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";4,31;4;4;4;5;0;0
"248";248;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";9,65;4;4;4;2;2;2
"249";249;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";2;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,07;3;5;4;2;4;3
"250";250;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,32;3;3;2;2;3;2
"251";251;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";3,32;2;4;2;5;4;0
"252";252;"Perempuan";20;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";2,26;2;2;5;2;2;2
"253";253;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Pribadi/Rumah Keluarga";6,72;2;2;2;4;0;0
"254";254;"Laki-laki";22;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,08;4;4;4;7;0;0
"255";255;"Perempuan";21;"Ushuluddin dan Studi Agama";"Studi Agama-Agama";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Kos Bersama-sama";3,38;2;0;0;3;2;0
"256";256;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";3,87;4;3;3;4;0;0
"257";257;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Bersama Saudara";2,63;3;0;3;2;4;2
"258";258;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,42;2;2;0;2;0;2
"259";259;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Transportasi Online";"Kos Sendiri";2,2;3;3;2;0;2;0
"260";260;"Perempuan";21;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,96;2;4;3;2;0;4
"261";261;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";2,34;2;2;0;2;0;0
"262";262;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;1;"Sepeda";"Rumah Mengontrak Bersama-sama";1,47;3;2;0;3;0;0
"263";263;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";3,99;0;2;2;2;5;0
"264";264;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";3,87;3;0;2;2;0;2
"265";265;"Perempuan";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";0,84;2;0;2;2;0;3
"266";266;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,6;3;4;0;0;0;0
"267";267;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,24;0;2;2;4;0;0
"268";268;"Laki-laki";22;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,87;2;3;0;2;2;0
"269";269;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,42;3;3;4;5;0;0
"270";270;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";1;3;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,08;2;3;5;4;4;0
"271";271;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,72;3;4;0;2;0;0
"272";272;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";4,01;2;3;2;3;0;2
"273";273;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,38;4;2;3;2;2;2
"274";274;"Perempuan";23;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;1;1;"Transportasi Online";"Rumah Pribadi/Rumah Keluarga";2,1;2;2;0;2;2;0
"275";275;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,19;5;5;5;2;2;2
"276";276;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,56;4;6;4;4;4;4
"277";277;"Laki-laki";20;"Tarbiyah dan Keguruan";"Biologi";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;1;"Sepeda Motor Pribadi";"Kos Sendiri";3,13;3;3;3;2;0;2
"278";278;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;1;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,38;2;3;3;2;0;2
"279";279;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";1,38;2;4;3;2;2;2
"280";280;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,22;4;2;3;2;4;0
"281";281;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Bimbingan Konseling Islam";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,22;0;3;2;0;2;0
"282";282;"Laki-laki";22;"Tarbiyah dan Keguruan";"Sistem Informasi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";3,96;4;4;5;4;4;4
"283";283;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,36;0;2;2;3;0;2
"284";284;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,47;3;2;3;2;2;2
"285";285;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";1;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3;0;2;0;2;0;2
"286";286;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";3,87;2;2;2;5;0;2
"287";287;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";4,17;2;0;2;2;3;2
"288";288;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,5;4;2;0;2;4;0
"289";289;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Guru Madrasah Ibtidaiyah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;2;3;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";3,86;2;4;2;3;0;0
"290";290;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,5;3;2;0;4;2;0
"291";291;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,65;3;2;2;4;0;4
"292";292;"Laki-laki";21;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,5;3;4;4;2;2;2
"293";293;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";2,81;0;2;2;2;0;0
"294";294;"Laki-laki";20;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,26;4;4;4;3;0;0
"295";295;"Laki-laki";22;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,93;4;2;0;3;0;2
"296";296;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";0,83;0;0;0;2;0;2
"297";297;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Kendaraan Bermotor (menumpang)";"Rumah Mengontrak Bersama-sama";0,86;4;4;4;2;2;0
"298";298;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";3,06;4;2;2;3;2;0
"299";299;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";3,17;2;2;2;0;0;2
"300";300;"Perempuan";22;"Dakwah dan Ilmu Komunikasi";"Manajemen Dakwah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";2,93;3;3;2;2;0;2
"301";301;"Perempuan";21;"Tarbiyah dan Keguruan";"Bimbingan dan Konseling";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,96;2;2;2;2;2;0
"302";302;"Laki-laki";22;"Tarbiyah dan Keguruan";"Manajemen Pendidikan Islam";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";2,46;2;3;2;5;0;2
"303";303;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Perbankan Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";0,77;4;2;2;2;0;0
"304";304;"Laki-laki";20;"Adab";"Ilmu Perpustakaan dan Informasi Islam";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,39;2;2;0;3;3;2
"305";305;"Laki-laki";21;"Dakwah dan Ilmu Komunikasi";"Pengembangan Masyarakat Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";2,31;4;2;2;2;2;2
"306";306;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Agama Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";0,96;2;4;2;2;0;2
"307";307;"Laki-laki";23;"Syariah";"Hukum Keluarga";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,3;3;0;3;2;2;2
"308";308;"Laki-laki";21;"Ushuluddin dan Studi Agama";"Pemikiran Politik Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,23;4;6;6;4;2;0
"309";309;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";0,55;4;2;3;0;2;2
"310";310;"Perempuan";21;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";0,55;2;3;0;0;2;0
"311";311;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Arab";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;0;0;"Berjalan Kaki";"Rumah Mengontrak Bersama-sama";0,55;3;3;0;0;2;0
"312";312;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Guru Madrasah Ibtidaiyah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;0;0;"Berjalan Kaki";"Kos Sendiri";0,57;2;2;0;0;2;4
"313";313;"Laki-laki";22;"Dakwah dan Ilmu Komunikasi";"Komunikasi dan Penyiaran Islam";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";1;2;5;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,05;4;0;4;2;2;2
"314";314;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"3 (Semester 5 - Semester 6)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";1,93;2;1;0;2;0;1
"315";315;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";2,08;4;4;4;5;2;0
"316";316;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";0,56;0;2;2;0;0;0
"317";317;"Laki-laki";23;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,84;0;2;0;2;2;2
"318";318;"Laki-laki";22;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"4 (Semester 7 - Semester 8)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,41;0;0;3;3;0;0
"319";319;"Laki-laki";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,03;2;2;0;3;2;0
"320";320;"Laki-laki";20;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,82;3;4;3;4;0;2
"321";321;"Laki-laki";23;"Tarbiyah dan Keguruan";"Biologi";"4 (Semester 7 - Semester 8)";"2 Jt - 3 Jt";1;0;0;"Mobil Pribadi";"Rumah Mengontrak Bersama-sama";1,83;3;2;2;3;2;2
"322";322;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"1 (Semester 1 - Semester 2)";"< 1 Jt";0;0;1;"Sepeda";"Kos Sendiri";0,28;2;3;3;0;0;2
"323";323;"Perempuan";18;"Tarbiyah dan Keguruan";"Pendidikan Bahasa Inggris";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;2;0;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";5,59;0;2;2;0;2;0
"324";324;"Perempuan";22;"Tarbiyah dan Keguruan";"Pendidikan Matematika";"4 (Semester 7 - Semester 8)";"< 1 Jt";0;2;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";4,5;2;3;2;0;0;2
"325";325;"Perempuan";21;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,29;4;2;2;2;0;0
"326";326;"Laki-laki";22;"Ushuluddin dan Studi Agama";"Ilmu Alquran dan Tafsir";"3 (Semester 5 - Semester 6)";"1Jt - 2 Jt";2;3;1;"Sepeda Motor Pribadi";"Rumah Pribadi/Rumah Keluarga";6,62;4;1;2;2;2;2
"327";327;"Perempuan";20;"Tarbiyah dan Keguruan";"Pendidikan Biologi";"2 (Semester 3 - Semester 4)";"< 1 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";2,27;4;4;2;0;0;0
"328";328;"Laki-laki";21;"Tarbiyah dan Keguruan";"Pendidikan Fisika";"3 (Semester 5 - Semester 6)";"2 Jt - 3 Jt";0;1;0;"Sepeda Motor Pribadi";"Kos Sendiri";1,14;2;2;2;4;0;3
"329";329;"Perempuan";22;"Ekonomi dan Bisnis Islam";"Akuntansi Syariah";"1 (Semester 1 - Semester 2)";"1Jt - 2 Jt";0;0;0;"Transportasi Online";"Kos Sendiri";1,51;2;2;2;0;2;0
"330";330;"Perempuan";19;"Ekonomi dan Bisnis Islam";"Ekonomi Syariah";"2 (Semester 3 - Semester 4)";"1Jt - 2 Jt";0;1;0;"Sepeda Motor Pribadi";"Rumah Mengontrak Bersama-sama";1,02;2;2;4;4;3;2
